#Easting Northing Mass/Area
486790 1332690 0
486790 1334190 0
486790 1335690 0
486790 1337190 0
486790 1338690 0
486790 1340190 0
486790 1341690 0
486790 1343190 0
486790 1344690 0
486790 1346190 0
486790 1347690 0
486790 1349190 0
486790 1350690 0
486790 1352190 0
486790 1353690 0
486790 1355190 0
486790 1356690 0
486790 1358190 0
486790 1359690 0
486790 1361190 0
486790 1362690 0
486790 1364190 0
486790 1365690 0
486790 1367190 0
486790 1368690 2.5e-323
486790 1370190 5.2e-318
486790 1371690 7.5e-313
486790 1373190 7.3e-308
486790 1374690 4.8e-303
486790 1376190 2.1e-298
486790 1377690 6.2e-294
486790 1379190 1.2e-289
486790 1380690 1.6e-285
486790 1382190 1.4e-281
486790 1383690 8.2e-278
486790 1385190 3.2e-274
486790 1386690 8.2e-271
486790 1388190 1.4e-267
486790 1389690 1.6e-264
486790 1391190 1.2e-261
486790 1392690 6.4e-259
486790 1394190 2.3e-256
486790 1395690 5.4e-254
486790 1397190 8.8e-252
486790 1398690 1e-249
486790 1400190 8.1e-248
486790 1401690 4.7e-246
486790 1403190 2.1e-244
486790 1404690 6.9e-243
486790 1406190 1.7e-241
486790 1407690 3.3e-240
486790 1409190 4.5e-239
486790 1410690 4.4e-238
486790 1412190 3.1e-237
486790 1413690 1.5e-236
486790 1415190 5.6e-236
486790 1416690 1.4e-235
486790 1418190 2.7e-235
486790 1419690 3.9e-235
486790 1421190 4.1e-235
486790 1422690 3.5e-235
486790 1424190 2.3e-235
486790 1425690 1.3e-235
486790 1427190 6.3e-236
486790 1428690 2.7e-236
486790 1430190 9.8e-237
486790 1431690 3.2e-237
488290 1332690 0
488290 1334190 0
488290 1335690 0
488290 1337190 0
488290 1338690 0
488290 1340190 0
488290 1341690 0
488290 1343190 0
488290 1344690 0
488290 1346190 0
488290 1347690 0
488290 1349190 0
488290 1350690 0
488290 1352190 0
488290 1353690 0
488290 1355190 0
488290 1356690 0
488290 1358190 0
488290 1359690 0
488290 1361190 0
488290 1362690 0
488290 1364190 0
488290 1365690 0
488290 1367190 7.4e-320
488290 1368690 2.4e-314
488290 1370190 5.4e-309
488290 1371690 8.3e-304
488290 1373190 8.5e-299
488290 1374690 5.9e-294
488290 1376190 2.7e-289
488290 1377690 8.5e-285
488290 1379190 1.7e-280
488290 1380690 2.4e-276
488290 1382190 2.1e-272
488290 1383690 1.2e-268
488290 1385190 4.6e-265
488290 1386690 1.2e-261
488290 1388190 1.9e-258
488290 1389690 2.1e-255
488290 1391190 1.5e-252
488290 1392690 7.4e-250
488290 1394190 2.4e-247
488290 1395690 5.5e-245
488290 1397190 8.3e-243
488290 1398690 8.7e-241
488290 1400190 6.2e-239
488290 1401690 3.1e-237
488290 1403190 1.1e-235
488290 1404690 3e-234
488290 1406190 6.1e-233
488290 1407690 9.8e-232
488290 1409190 1.2e-230
488290 1410690 1.1e-229
488290 1412190 7.5e-229
488290 1413690 3.7e-228
488290 1415190 1.3e-227
488290 1416690 3.3e-227
488290 1418190 6e-227
488290 1419690 7.9e-227
488290 1421190 7.9e-227
488290 1422690 6e-227
488290 1424190 3.6e-227
488290 1425690 1.8e-227
488290 1427190 7.3e-228
488290 1428690 2.6e-228
488290 1430190 8.3e-229
488290 1431690 2.3e-229
489790 1332690 0
489790 1334190 0
489790 1335690 0
489790 1337190 0
489790 1338690 0
489790 1340190 0
489790 1341690 0
489790 1343190 0
489790 1344690 0
489790 1346190 0
489790 1347690 0
489790 1349190 0
489790 1350690 0
489790 1352190 0
489790 1353690 0
489790 1355190 0
489790 1356690 0
489790 1358190 0
489790 1359690 0
489790 1361190 0
489790 1362690 0
489790 1364190 1.4e-322
489790 1365690 1.1e-316
489790 1367190 5.6e-311
489790 1368690 2e-305
489790 1370190 4.9e-300
489790 1371690 8.4e-295
489790 1373190 9.7e-290
489790 1374690 7.5e-285
489790 1376190 3.9e-280
489790 1377690 1.3e-275
489790 1379190 2.8e-271
489790 1380690 4e-267
489790 1382190 3.6e-263
489790 1383690 2.1e-259
489790 1385190 7.6e-256
489790 1386690 1.8e-252
489790 1388190 2.8e-249
489790 1389690 2.8e-246
489790 1391190 1.9e-243
489790 1392690 8.1e-241
489790 1394190 2.4e-238
489790 1395690 4.8e-236
489790 1397190 6.6e-234
489790 1398690 6.3e-232
489790 1400190 4.2e-230
489790 1401690 1.9e-228
489790 1403190 6.1e-227
489790 1404690 1.4e-225
489790 1406190 2.3e-224
489790 1407690 2.8e-223
489790 1409190 2.8e-222
489790 1410690 2.2e-221
489790 1412190 1.4e-220
489790 1413690 6.4e-220
489790 1415190 2.2e-219
489790 1416690 5.4e-219
489790 1418190 9.5e-219
489790 1419690 1.2e-218
489790 1421190 1.1e-218
489790 1422690 8.1e-219
489790 1424190 4.4e-219
489790 1425690 1.9e-219
489790 1427190 6.9e-220
489790 1428690 2.1e-220
489790 1430190 5.8e-221
