#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1403190 350 4.2e-253  0 0 0 0 0 3.3e-15 7e-11 1e+02 
485290 1404690 350 1.6e-251  0 0 0 0 0 7.9e-16 6.4e-11 1e+02 
485290 1406190 350 4.5e-250  0 0 0 0 0 1.6e-16 5.9e-11 1e+02 
485290 1407690 350 8.9e-249  0 0 0 0 0 2.7e-17 5.6e-11 1e+02 
485290 1409190 350 1.3e-247  0 0 0 0 0 4.1e-18 5.6e-11 1e+02 
485290 1410690 350 1.3e-246  0 0 0 0 0 5.2e-19 6e-11 1e+02 
485290 1412190 350 9.2e-246  0 0 0 0 0 5.8e-20 6.9e-11 1e+02 
485290 1413690 350 4.7e-245  0 0 0 0 0 5.6e-21 8.7e-11 1e+02 
485290 1415190 350 1.7e-244  0 0 0 0 0 4.6e-22 1.2e-10 1e+02 
485290 1416690 350 4.7e-244  0 0 0 0 0 3.1e-23 1.9e-10 1e+02 
485290 1418190 350 9.4e-244  0 0 0 0 0 1.8e-24 3.2e-10 1e+02 
485290 1419690 350 1.4e-243  0 0 0 0 0 8.4e-26 5.9e-10 1e+02 
485290 1421190 350 1.7e-243  0 0 0 0 0 3.1e-27 1.2e-09 1e+02 
485290 1422690 350 1.6e-243  0 0 0 0 0 8.7e-29 2.4e-09 1e+02 
485290 1424190 350 1.2e-243  0 0 0 0 0 1.8e-30 5.1e-09 1e+02 
485290 1425690 350 8e-244  0 0 0 0 0 2.8e-32 1.1e-08 1e+02 
485290 1427190 350 4.5e-244  0 0 0 0 0 3.1e-34 2.1e-08 1e+02 
485290 1428690 350 2.2e-244  0 0 0 0 0 2.4e-36 3.8e-08 1e+02 
485290 1430190 350 9.5e-245  0 0 0 0 0 1.3e-38 6.4e-08 1e+02 
485290 1431690 350 3.6e-245  0 0 0 0 0 4.9e-41 9.5e-08 1e+02 
486790 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1352190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1353690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1355190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1356690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1358190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1359690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1361190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1362690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1364190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1365690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1367190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1368690 350 2.5e-323  0 0 0 0 0 0 0 1e+02 
486790 1370190 350 5.2e-318  0 0 0 0 0 0 0 1e+02 
486790 1371690 350 7.5e-313  0 0 0 0 0 0 0 1e+02 
486790 1373190 350 7.3e-308  0 0 0 0 0 1.2e-13 8.1e-13 1e+02 
486790 1374690 350 4.8e-303  0 0 0 0 0 2.9e-13 1.8e-12 1e+02 
486790 1376190 350 2.1e-298  0 0 0 0 0 6.8e-13 3.5e-12 1e+02 
486790 1377690 350 6.2e-294  0 0 0 0 0 1.4e-12 6.5e-12 1e+02 
486790 1379190 350 1.2e-289  0 0 0 0 0 2.7e-12 1.2e-11 1e+02 
486790 1380690 350 1.6e-285  0 0 0 0 0 4.8e-12 2e-11 1e+02 
486790 1382190 350 1.4e-281  0 0 0 0 0 7.7e-12 3.2e-11 1e+02 
486790 1383690 350 8.2e-278  0 0 0 0 0 1.1e-11 5e-11 1e+02 
486790 1385190 350 3.2e-274  0 0 0 0 2e-46 1.5e-11 7.3e-11 1e+02 
486790 1386690 350 8.2e-271  0 0 0 0 8e-47 1.9e-11 1e-10 1e+02 
486790 1388190 350 1.4e-267  0 0 0 0 2.1e-47 2.1e-11 1.4e-10 1e+02 
486790 1389690 350 1.6e-264  0 0 0 0 3.3e-48 2.2e-11 1.8e-10 1e+02 
486790 1391190 350 1.2e-261  0 0 0 0 3.4e-49 2.1e-11 2.3e-10 1e+02 
486790 1392690 350 6.4e-259  0 0 0 0 2.2e-50 1.8e-11 2.8e-10 1e+02 
486790 1394190 350 2.3e-256  0 0 0 0 9e-52 1.4e-11 3.2e-10 1e+02 
486790 1395690 350 5.4e-254  0 0 0 0 2.3e-53 9.7e-12 3.6e-10 1e+02 
486790 1397190 350 8.8e-252  0 0 0 0 3.5e-55 6.1e-12 4e-10 1e+02 
486790 1398690 350 1e-249  0 0 0 0 3.4e-57 3.4e-12 4.3e-10 1e+02 
486790 1400190 350 8.1e-248  0 0 0 0 1.9e-59 1.6e-12 4.5e-10 1e+02 
486790 1401690 350 4.7e-246  0 0 0 0 6.3e-62 6.7e-13 4.5e-10 1e+02 
486790 1403190 350 2.1e-244  0 0 0 0 1.2e-64 2.2e-13 4.2e-10 1e+02 
486790 1404690 350 6.9e-243  0 0 0 0 1.2e-67 6e-14 3.8e-10 1e+02 
486790 1406190 350 1.7e-241  0 0 0 0 7.3e-71 1.3e-14 3.3e-10 1e+02 
486790 1407690 350 3.3e-240  0 0 0 0 2.4e-74 2.4e-15 2.8e-10 1e+02 
486790 1409190 350 4.5e-239  0 0 0 0 4.7e-78 3.8e-16 2.4e-10 1e+02 
486790 1410690 350 4.4e-238  0 0 0 0 5.4e-82 5e-17 2.2e-10 1e+02 
486790 1412190 350 3.1e-237  0 0 0 0 0 5.6e-18 2.2e-10 1e+02 
486790 1413690 350 1.5e-236  0 0 0 0 0 5.5e-19 2.4e-10 1e+02 
486790 1415190 350 5.6e-236  0 0 0 0 0 4.6e-20 2.8e-10 1e+02 
486790 1416690 350 1.4e-235  0 0 0 0 0 3.3e-21 3.7e-10 1e+02 
486790 1418190 350 2.7e-235  0 0 0 0 0 2e-22 5.4e-10 1e+02 
486790 1419690 350 3.9e-235  0 0 0 0 0 9.8e-24 8.9e-10 1e+02 
486790 1421190 350 4.1e-235  0 0 0 0 0 4e-25 1.6e-09 1e+02 
486790 1422690 350 3.5e-235  0 0 0 0 0 1.3e-26 3.1e-09 1e+02 
486790 1424190 350 2.3e-235  0 0 0 0 0 3e-28 6.4e-09 1e+02 
486790 1425690 350 1.3e-235  0 0 0 0 0 5.4e-30 1.3e-08 1e+02 
486790 1427190 350 6.3e-236  0 0 0 0 0 7e-32 2.7e-08 1e+02 
486790 1428690 350 2.7e-236  0 0 0 0 0 6.3e-34 5.2e-08 1e+02 
486790 1430190 350 9.8e-237  0 0 0 0 0 4e-36 9.2e-08 1e+02 
486790 1431690 350 3.2e-237  0 0 0 0 0 1.7e-38 1.5e-07 1e+02 
488290 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1352190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1353690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1355190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1356690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1358190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1359690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1361190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1362690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1364190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1365690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
488290 1367190 350 7.4e-320  0 0 0 0 0 0 0 1e+02 
488290 1368690 350 2.4e-314  0 0 0 0 0 0 0 1e+02 
488290 1370190 350 5.4e-309  0 0 0 0 0 2.7e-13 1e-12 1e+02 
488290 1371690 350 8.3e-304  0 0 0 0 0 9e-13 2.6e-12 1e+02 
488290 1373190 350 8.5e-299  0 0 0 0 0 2.4e-12 5.5e-12 1e+02 
488290 1374690 350 5.9e-294  0 0 0 0 0 5.9e-12 1.1e-11 1e+02 
488290 1376190 350 2.7e-289  0 0 0 0 0 1.3e-11 2.1e-11 1e+02 
488290 1377690 350 8.5e-285  0 0 0 0 0 2.7e-11 3.9e-11 1e+02 
488290 1379190 350 1.7e-280  0 0 0 0 5.4e-41 5e-11 6.9e-11 1e+02 
488290 1380690 350 2.4e-276  0 0 0 0 1.2e-40 8.5e-11 1.1e-10 1e+02 
488290 1382190 350 2.1e-272  0 0 0 0 1.9e-40 1.4e-10 1.8e-10 1e+02 
488290 1383690 350 1.2e-268  0 0 0 0 1.9e-40 2e-10 2.8e-10 1e+02 
488290 1385190 350 4.6e-265  0 0 0 0 1.2e-40 2.7e-10 4.2e-10 1e+02 
488290 1386690 350 1.2e-261  0 0 0 0 5.1e-41 3.4e-10 6e-10 1e+02 
488290 1388190 350 1.9e-258  0 0 0 0 1.4e-41 4e-10 8.2e-10 1e+02 
488290 1389690 350 2.1e-255  0 0 0 0 2.3e-42 4.2e-10 1.1e-09 1e+02 
488290 1391190 350 1.5e-252  0 0 0 0 2.5e-43 4.1e-10 1.3e-09 1e+02 
488290 1392690 350 7.4e-250  0 0 0 0 1.7e-44 3.7e-10 1.6e-09 1e+02 
488290 1394190 350 2.4e-247  0 0 0 0 7.5e-46 3e-10 1.8e-09 1e+02 
488290 1395690 350 5.5e-245  0 0 0 0 2e-47 2.2e-10 2e-09 1e+02 
488290 1397190 350 8.3e-243  0 0 0 0 3.4e-49 1.4e-10 2.1e-09 1e+02 
488290 1398690 350 8.7e-241  0 0 0 0 3.5e-51 8.6e-11 2.2e-09 1e+02 
488290 1400190 350 6.2e-239  0 0 0 0 2.2e-53 4.6e-11 2.2e-09 1e+02 
488290 1401690 350 3.1e-237  0 0 0 0 8.6e-56 2.1e-11 2.2e-09 1e+02 
488290 1403190 350 1.1e-235  0 0 0 0 2e-58 8.7e-12 2.2e-09 1e+02 
488290 1404690 350 3e-234  0 0 0 0 2.6e-61 2.9e-12 2.1e-09 1e+02 
488290 1406190 350 6.1e-233  0 0 0 0 1.9e-64 7.8e-13 1.8e-09 1e+02 
488290 1407690 350 9.8e-232  0 0 0 0 7.3e-68 1.7e-13 1.5e-09 1e+02 
488290 1409190 350 1.2e-230  0 0 0 0 1.6e-71 2.8e-14 1.2e-09 1e+02 
488290 1410690 350 1.1e-229  0 0 0 0 1.9e-75 3.9e-15 1e-09 1e+02 
488290 1412190 350 7.5e-229  0 0 0 0 1.3e-79 4.6e-16 8.5e-10 1e+02 
488290 1413690 350 3.7e-228  0 0 0 0 5.5e-84 4.6e-17 7.8e-10 1e+02 
488290 1415190 350 1.3e-227  0 0 0 0 1.3e-88 3.9e-18 7.9e-10 1e+02 
488290 1416690 350 3.3e-227  0 0 0 0 1.9e-93 2.9e-19 8.8e-10 1e+02 
488290 1418190 350 6e-227  0 0 0 0 0 1.8e-20 1.1e-09 1e+02 
