#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
483790 1382190 350 7.3e-178  0 0 0 0 8e-58 4e-09 3e-06 1e+02 
483790 1383690 350 1.6e-172  0 0 0 0 8.1e-58 6.9e-09 5.8e-06 1e+02 
483790 1385190 350 2.4e-167  0 0 0 0 5.1e-58 1.1e-08 1.1e-05 1e+02 
483790 1386690 350 2.4e-162  0 0 0 0 2e-58 1.5e-08 2e-05 1e+02 
483790 1388190 350 1.7e-157  0 0 0 0 4.9e-59 1.9e-08 3.6e-05 1e+02 
483790 1389690 350 8e-153  0 0 0 0 7.5e-60 2.1e-08 6.2e-05 1e+02 
483790 1391190 350 2.6e-148  0 0 0 0 6.9e-61 2.1e-08 0.00011 1e+02 
483790 1392690 350 6e-144  0 0 0 0 3.9e-62 1.8e-08 0.00017 1e+02 
483790 1394190 350 9.6e-140  0 0 0 0 1.3e-63 1.4e-08 0.00027 1e+02 
483790 1395690 350 1.1e-135  0 0 0 0 2.7e-65 9.3e-09 0.00042 1e+02 
483790 1397190 350 8.7e-132  0 0 0 0 3.3e-67 5.3e-09 0.00062 1e+02 
483790 1398690 350 5.1e-128  0 0 0 0 2.4e-69 2.6e-09 0.00091 1e+02 
483790 1400190 350 2.1e-124  0 0 0 0 1e-71 1.1e-09 0.0013 1e+02 
483790 1401690 350 6.3e-121  0 0 0 0 2.5e-74 3.9e-10 0.0018 1e+02 
483790 1403190 350 1.4e-117  0 0 0 0 3.7e-77 1.2e-10 0.0026 1e+02 
483790 1404690 350 2.2e-114  0 0 0 0 3.1e-80 3e-11 0.0037 1e+02 
483790 1406190 350 2.4e-111  0 0 0 0 1.6e-83 6.5e-12 0.0053 1e+02 
483790 1407690 350 2e-108  0 0 0 0 4.5e-87 1.2e-12 0.0079 1e+02 
483790 1409190 350 1.2e-105  0 0 0 0 7.6e-91 1.8e-13 0.012 1e+02 
483790 1410690 350 5.6e-103  0 0 0 0 7.3e-95 2.3e-14 0.019 1e+02 
483790 1412190 350 1.9e-100  0 0 0 0 3.9e-99 2.4e-15 0.03 1e+02 
483790 1413690 350 5.1e-98  0 0 0 0 1.1e-103 2e-16 0.049 1e+02 
483790 1415190 350 1.1e-95  0 0 0 0 1.8e-108 1.3e-17 0.079 1e+02 
483790 1416690 350 1.8e-93  0 0 0 0 1.5e-113 6.2e-19 0.13 1e+02 
483790 1418190 350 2.4e-91  0 0 0 0 6.4e-119 2.3e-20 0.2 1e+02 
483790 1419690 350 2.8e-89  0 0 0 0 1.4e-124 6.3e-22 0.3 1e+02 
483790 1421190 350 2.6e-87  0 0 0 0 1.6e-130 1.3e-23 0.44 1e+02 
483790 1422690 350 2.1e-85  0 0 0 0 8.8e-137 1.8e-25 0.61 99 
483790 1424190 350 1.4e-83  0 0 0 0 2.4e-143 1.9e-27 0.81 99 
483790 1425690 350 8.5e-82  0 0 0 0 3.4e-150 1.5e-29 1 99 
483790 1427190 350 4.3e-80  0 0 0 0 2.3e-157 7.8e-32 1.1 99 
483790 1428690 350 1.9e-78  0 0 0 0 7.4e-165 3e-34 1.2 99 
483790 1430190 350 7.3e-77  0 0 0 0 1.2e-172 7.9e-37 1.1 99 
483790 1431690 350 2.5e-75  0 0 0 0 9e-181 1.5e-39 0.89 99 
485290 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1350690 350 2.9e-321  0 0 0 0 0 0 0 1e+02 
485290 1352190 350 1.1e-312  0 0 0 0 0 0 0 1e+02 
485290 1353690 350 2.8e-304  0 0 0 0 0 0 2.4e-14 1e+02 
485290 1355190 350 5e-296  0 0 0 0 0 6e-21 7.9e-14 1e+02 
485290 1356690 350 6.5e-288  0 0 0 0 0 1.2e-19 2.7e-13 1e+02 
485290 1358190 350 6e-280  0 0 0 0 0 1.9e-18 9.7e-13 1e+02 
485290 1359690 350 3.9e-272  0 0 0 0 0 2.8e-17 3.6e-12 1e+02 
485290 1361190 350 1.8e-264  0 0 0 0 0 3.5e-16 1.3e-11 1e+02 
485290 1362690 350 6.2e-257  0 0 0 0 0 3.7e-15 4.8e-11 1e+02 
485290 1364190 350 1.6e-249  0 0 0 0 1.5e-67 3.2e-14 1.7e-10 1e+02 
485290 1365690 350 2.9e-242  0 0 0 0 5.5e-65 2.4e-13 5.4e-10 1e+02 
485290 1367190 350 3.9e-235  0 0 0 0 1.1e-62 1.5e-12 1.6e-09 1e+02 
