#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1383690 350 1.2e-06  0 0 0 1.9e-214 3.7e-89 1.1e-20 40 60 
485290 1385190 350 7.4e-08  0 0 0 7.5e-215 2.5e-89 1e-20 40 60 
485290 1386690 350 3.4e-09  0 0 0 9.1e-216 9.7e-90 8.2e-21 40 60 
485290 1388190 350 1.2e-10  0 0 0 3.4e-217 2.1e-90 5.3e-21 39 61 
485290 1389690 350 3e-12  0 0 0 3.9e-219 2.5e-91 2.7e-21 38 62 
485290 1391190 350 5.9e-14  0 0 0 1.4e-221 1.7e-92 1.2e-21 36 64 
485290 1392690 350 8.8e-16  0 0 0 1.5e-224 6.4e-94 3.9e-22 34 66 
485290 1394190 350 9.9e-18  0 0 0 5.2e-228 1.3e-95 1.1e-22 31 69 
485290 1395690 350 8.5e-20  0 0 0 5.4e-232 1.6e-97 2.4e-23 27 73 
485290 1397190 350 5.6e-22  0 0 0 1.7e-236 1e-99 4.3e-24 23 77 
485290 1398690 350 2.8e-24  0 0 0 1.6e-241 3.7e-102 6.1e-25 19 81 
485290 1400190 350 1.1e-26  0 0 0 4.7e-247 7.2e-105 6.8e-26 15 85 
485290 1401690 350 3.5e-29  0 0 0 4.1e-253 7.5e-108 5.9e-27 11 89 
485290 1403190 350 8.5e-32  0 0 0 1e-259 4.2e-111 4e-28 7.8 92 
485290 1404690 350 1.7e-34  0 0 0 7.6e-267 1.2e-114 2.1e-29 4.9 95 
485290 1406190 350 2.7e-37  0 0 0 1.6e-274 1.9e-118 7.9e-31 2.8 97 
485290 1407690 350 3.7e-40  0 0 0 1.3e-282 1.5e-122 2.2e-32 1.4 99 
485290 1409190 350 4.2e-43  0 0 0 0 5.7e-127 4.6e-34 0.63 99 
485290 1410690 350 4e-46  0 0 0 0 1.1e-131 7.1e-36 0.25 1e+02 
485290 1412190 350 3.2e-49  0 0 0 0 1.2e-136 8e-38 0.086 1e+02 
485290 1413690 350 2.1e-52  0 0 0 0 5.9e-142 6.7e-40 0.027 1e+02 
485290 1415190 350 1.1e-55  0 0 0 0 1.5e-147 4.1e-42 0.0074 1e+02 
485290 1416690 350 5.3e-59  0 0 0 0 2e-153 1.8e-44 0.0018 1e+02 
485290 1418190 350 2.1e-62  0 0 0 0 1.3e-159 5.7e-47 0.00036 1e+02 
485290 1419690 350 7.6e-66  0 0 0 0 4e-166 1.2e-49 6.2e-05 1e+02 
