#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
548040 1382690 300 5.6e-122  4.2e-19 9.1e-09 0.023 1e+02 0.32 4.1e-19 3e-34 8.4e-43 
548440 1382690 300 1.5e-125  2.9e-21 4.3e-10 0.0055 99 0.71 2.8e-18 9.9e-35 1.5e-42 
548845 1382690 300 3.5e-129  1.5e-23 1.7e-11 0.0011 98 1.5 2.1e-17 3.4e-35 2.5e-42 
549255 1382690 300 7.1e-133  5.9e-26 5.2e-13 0.00021 97 3.1 1.5e-16 1.2e-35 4e-42 
549670 1382690 300 1.3e-136  1.7e-28 1.3e-14 3.2e-05 94 5.9 1.2e-15 4.1e-36 6.2e-42 
550090 1382690 300 2e-140  3.4e-31 2.5e-16 4.3e-06 89 11 9e-15 1.5e-36 9e-42 
550515 1382690 300 2.7e-144  4.9e-34 3.8e-18 4.7e-07 82 18 7e-14 5.5e-37 1.2e-41 
550945 1382690 300 3.3e-148  4.9e-37 4.4e-20 4.4e-08 71 29 5.3e-13 2.1e-37 1.6e-41 
551380 1382690 300 3.6e-152  3.3e-40 3.8e-22 3.3e-09 58 42 3.9e-12 7.8e-38 1.8e-41 
551820 1382690 300 3.5e-156  1.5e-43 2.4e-24 2e-10 43 57 2.8e-11 3.1e-38 1.9e-41 
552265 1382690 300 3.2e-160  4.4e-47 1.1e-26 9.4e-12 29 71 1.9e-10 1.4e-38 1.8e-41 
552715 1382690 300 2.6e-164  8.6e-51 3.8e-29 3.5e-13 18 82 1.2e-09 7e-39 1.5e-41 
553170 1382690 300 1.9e-168  1.1e-54 9e-32 1e-14 9.9 90 7.6e-09 4.7e-39 1.2e-41 
553630 1382690 300 1.3e-172  8.6e-59 1.5e-34 2.4e-16 4.8 95 4.5e-08 4.4e-39 8e-42 
554095 1382690 300 7.8e-177  4.3e-63 1.8e-37 4.3e-18 2.1 98 2.5e-07 6e-39 4.9e-42 
554565 1382690 300 4.2e-181  1.4e-67 1.5e-40 5.9e-20 0.77 99 1.3e-06 1.2e-38 2.7e-42 
555040 1382690 300 2.1e-185  2.7e-72 9e-44 6.2e-22 0.25 1e+02 6.5e-06 3.4e-38 1.3e-42 
555520 1382690 300 9.1e-190  3.3e-77 3.6e-47 5e-24 0.07 1e+02 3.1e-05 1.3e-37 5.8e-43 
556005 1382690 300 3.6e-194  2.4e-82 1e-50 3e-26 0.017 1e+02 0.00013 6.3e-37 2.3e-43 
556495 1382690 300 1.3e-198  1e-87 1.8e-54 1.4e-28 0.0034 1e+02 0.00055 3.4e-36 8.2e-44 
556990 1382690 300 4.2e-203  2.7e-93 2.3e-58 4.6e-31 0.00058 1e+02 0.0021 2e-35 2.8e-44 
557490 1382690 300 1.2e-207  4e-99 1.9e-62 1.1e-33 8.3e-05 1e+02 0.0076 1.3e-34 9.6e-45 
557995 1382690 300 3.2e-212  3.5e-105 1e-66 2.1e-36 1e-05 1e+02 0.025 9.2e-34 3.6e-45 
558505 1382690 300 7.5e-217  0 3.5e-71 2.8e-39 1e-06 1e+02 0.077 7e-33 1.4e-45 
559020 1382690 300 1.6e-221  0 7.8e-76 2.7e-42 8.3e-08 1e+02 0.22 5.7e-32 6e-46 
559540 1382690 300 3.1e-226  0 1.1e-80 1.8e-45 5.6e-09 99 0.58 5.1e-31 2.4e-46 
560065 1382690 300 5.3e-231  0 1e-85 8.8e-49 3.1e-10 99 1.4 4.8e-30 8.9e-47 
560595 1382690 300 8.2e-236  0 0 3e-52 1.4e-11 97 3.1 4.8e-29 3e-47 
561130 1382690 300 1.1e-240  0 0 7.2e-56 5.1e-13 94 6.2 5.1e-28 9.2e-48 
561670 1382690 300 1.5e-245  0 0 1.2e-59 1.5e-14 89 11 5.6e-27 2.7e-48 
562215 1382690 300 1.7e-250  0 0 1.4e-63 3.5e-16 81 19 6.3e-26 7.5e-49 
562765 1382690 300 1.7e-255  0 0 0 6.6e-18 70 30 7.3e-25 2.1e-49 
563320 1382690 300 1.6e-260  0 0 0 9.9e-20 57 43 8.5e-24 6.2e-50 
563880 1382690 300 1.3e-265  0 0 0 1.2e-21 43 57 9.9e-23 1.8e-50 
564445 1382690 300 9.8e-271  0 0 0 1.1e-23 29 71 1.1e-21 4.5e-51 
565015 1382690 300 6.7e-276  0 0 0 7.5e-26 18 82 1.3e-20 0 
565590 1382690 300 4.1e-281  0 0 0 4.2e-28 10 90 1.5e-19 0 
566170 1382690 300 2.2e-286  0 0 0 1.8e-30 5.1 95 1.6e-18 0 
566755 1382690 300 1.1e-291  0 0 0 0 2.2 98 1.7e-17 0 
567345 1382690 300 5e-297  0 0 0 0 0.86 99 1.8e-16 0 
567940 1382690 300 2e-302  0 0 0 0 0.29 1e+02 1.7e-15 0 
568540 1382690 300 7.2e-308  0 0 0 0 0.085 1e+02 1.4e-14 0 
569145 1382690 300 2.4e-313  0 0 0 0 0.021 1e+02 0 0 
569755 1382690 300 7e-319  0 0 0 0 0.005 1e+02 0 0 
570370 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
570990 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
571615 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
572245 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
572880 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
573520 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
574165 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
574815 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
575470 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
576130 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
576795 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
577465 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
578140 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
578820 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
579505 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
580195 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
580890 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
581590 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
582295 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
583005 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
583720 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
584440 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
585165 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
585895 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
586630 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
587370 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
588115 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
588865 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
589620 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
590380 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
591145 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
591915 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
592690 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
593470 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
594255 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
595045 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
595840 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
