#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1371690 350 3.5e-301  0 0 0 0 0 1.4e-14 7.9e-13 1e+02 
485290 1373190 350 1.1e-302  0 0 0 0 0 2e-14 7.6e-13 1e+02 
485290 1374690 350 2.2e-304  0 0 0 0 0 2.6e-14 7.1e-13 1e+02 
485290 1376190 350 3.1e-306  0 0 0 0 0 3.1e-14 6.3e-13 1e+02 
485290 1377690 350 3e-308  0 0 0 0 0 3.3e-14 5.1e-13 1e+02 
485290 1379190 350 1.9e-310  0 0 0 0 0 0 0 1e+02 
485290 1380690 350 8.4e-313  0 0 0 0 0 0 0 1e+02 
485290 1382190 350 2.4e-315  0 0 0 0 0 0 0 1e+02 
485290 1383690 350 4.7e-318  0 0 0 0 0 0 0 1e+02 
485290 1385190 350 6.1e-321  0 0 0 0 0 0 0 1e+02 
485290 1386690 350 4.9e-324  0 0 0 0 0 0 0 1e+02 
485290 1388190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1389690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1391190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1392690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1394190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1395690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1397190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1398690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1400190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1401690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1403190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1404690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1406190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1407690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1409190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1410690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1412190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1413690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1415190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1416690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1418190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1419690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1421190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1422690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1424190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1425690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1427190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1428690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1430190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1431690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1332690 350 1.8e-301  0 0 0 0 0 0 1.9e-10 1e+02 
486790 1334190 350 1.1e-299  0 0 0 0 0 0 1.1e-10 1e+02 
486790 1335690 350 5.4e-298  0 0 0 0 0 0 5.6e-11 1e+02 
486790 1337190 350 2.4e-296  0 0 0 0 0 0 2.7e-11 1e+02 
486790 1338690 350 9.4e-295  0 0 0 0 0 0 1.2e-11 1e+02 
486790 1340190 350 3.1e-293  0 0 0 0 0 0 5.6e-12 1e+02 
486790 1341690 350 8.4e-292  0 0 0 0 0 5.3e-30 2.6e-12 1e+02 
486790 1343190 350 1.8e-290  0 0 0 0 0 1.8e-28 1.3e-12 1e+02 
486790 1344690 350 2.9e-289  0 0 0 0 0 5.2e-27 7.7e-13 1e+02 
486790 1346190 350 3.5e-288  0 0 0 0 0 1.2e-25 5e-13 1e+02 
486790 1347690 350 3.2e-287  0 0 0 0 0 2.4e-24 3.7e-13 1e+02 
486790 1349190 350 2e-286  0 0 0 0 0 4.1e-23 3.2e-13 1e+02 
486790 1350690 350 9.4e-286  0 0 0 0 0 5.9e-22 3e-13 1e+02 
486790 1352190 350 3.1e-285  0 0 0 0 0 7.4e-21 3.2e-13 1e+02 
486790 1353690 350 7.2e-285  0 0 0 0 0 8e-20 3.8e-13 1e+02 
486790 1355190 350 1.2e-284  0 0 0 0 0 7.5e-19 4.9e-13 1e+02 
486790 1356690 350 1.4e-284  0 0 0 0 0 6e-18 6.8e-13 1e+02 
486790 1358190 350 1.2e-284  0 0 0 0 0 4.2e-17 9.7e-13 1e+02 
486790 1359690 350 7.5e-285  0 0 0 0 0 2.4e-16 1.4e-12 1e+02 
486790 1361190 350 3.5e-285  0 0 0 0 0 1.1e-15 2e-12 1e+02 
486790 1362690 350 1.2e-285  0 0 0 0 0 4.4e-15 2.6e-12 1e+02 
486790 1364190 350 3.3e-286  0 0 0 0 0 1.4e-14 3.3e-12 1e+02 
486790 1365690 350 6.6e-287  0 0 0 0 0 3.6e-14 3.9e-12 1e+02 
486790 1367190 350 9.5e-288  0 0 0 0 0 8e-14 4.4e-12 1e+02 
486790 1368690 350 9.6e-289  0 0 0 0 0 1.6e-13 4.8e-12 1e+02 
486790 1370190 350 6.7e-290  0 0 0 0 0 2.7e-13 5.1e-12 1e+02 
486790 1371690 350 3.2e-291  0 0 0 0 0 4.1e-13 5.2e-12 1e+02 
486790 1373190 350 1e-292  0 0 0 0 0 5.8e-13 5.2e-12 1e+02 
486790 1374690 350 2.3e-294  0 0 0 0 0 7.4e-13 4.9e-12 1e+02 
486790 1376190 350 3.3e-296  0 0 0 0 0 8.6e-13 4.5e-12 1e+02 
486790 1377690 350 3.3e-298  0 0 0 0 0 9e-13 3.9e-12 1e+02 
486790 1379190 350 2.2e-300  0 0 0 0 0 8.7e-13 3.3e-12 1e+02 
486790 1380690 350 9.5e-303  0 0 0 0 0 7.7e-13 2.6e-12 1e+02 
486790 1382190 350 2.8e-305  0 0 0 0 0 6.3e-13 2e-12 1e+02 
486790 1383690 350 5.4e-308  0 0 0 0 0 4.4e-13 1.4e-12 1e+02 
486790 1385190 350 6.9e-311  0 0 0 0 0 0 0 1e+02 
486790 1386690 350 6e-314  0 0 0 0 0 0 0 1e+02 
486790 1388190 350 3.4e-317  0 0 0 0 0 0 0 1e+02 
486790 1389690 350 1.3e-320  0 0 0 0 0 0 0 1e+02 
486790 1391190 350 4.9e-324  0 0 0 0 0 0 0 1e+02 
486790 1392690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1394190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
