#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
590380 1382690 300 7.7e-284  0 0 0 0 0 1.7e-35 1e+02 0.19 
591145 1382690 300 3.3e-288  0 0 0 0 0 0 99 0.57 
591915 1382690 300 1.2e-292  0 0 0 0 0 0 98 1.9 
592690 1382690 300 4.1e-297  0 0 0 0 0 0 93 6.6 
593470 1382690 300 1.4e-301  0 0 0 0 0 0 77 23 
594255 1382690 300 5.9e-306  0 0 0 0 0 0 42 58 
595045 1382690 300 4.3e-310  0 0 0 0 0 0 12 88 
595840 1382690 300 4.1e-314  0 0 0 0 0 0 2.1 98 
596640 1382690 300 4e-318  0 0 0 0 0 0 0.32 1e+02 
597445 1382690 300 3.7e-322  0 0 0 0 0 0 0 1e+02 
598255 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
599070 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
599890 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
600715 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
601545 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
602380 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
603220 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
604065 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
604915 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
605770 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
606630 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
607495 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
608365 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
609240 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
610120 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
611005 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
611895 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
612790 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
613690 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
614595 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
615505 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
616420 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
617340 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
618265 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
619195 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
620130 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
621070 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
622015 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
622965 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
623920 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
624880 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
625845 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
626815 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
627790 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
628770 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
629755 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
630745 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
631740 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
532315 1382692 300 3.4  72 25 2.8 0.13 0.00062 2.2e-09 4.3e-19 8.1e-37 
532345 1382695 300 2.7  73 24 2.7 0.12 0.00059 2e-09 4.1e-19 7.7e-37 
532380 1382698 300 2.2  73 24 2.6 0.11 0.00055 1.9e-09 3.8e-19 7.1e-37 
532420 1382701 300 1.6  74 24 2.5 0.11 0.0005 1.8e-09 3.5e-19 6.6e-37 
532464 1382705 300 1.2  74 23 2.4 0.098 0.00046 1.6e-09 3.2e-19 6e-37 
532514 1382710 300 0.85  75 23 2.2 0.088 0.00041 1.4e-09 2.9e-19 5.4e-37 
532569 1382714 300 0.58  76 22 2.1 0.079 0.00035 1.3e-09 2.6e-19 4.8e-37 
532629 1382720 300 0.39  76 22 1.9 0.068 0.0003 1.1e-09 2.2e-19 4.2e-37 
532693 1382725 300 0.25  77 21 1.8 0.058 0.00024 9e-10 1.9e-19 3.6e-37 
532763 1382731 300 0.16  78 21 1.6 0.049 0.00019 7.3e-10 1.5e-19 3e-37 
532838 1382738 300 0.1  78 20 1.5 0.04 0.00014 5.7e-10 1.2e-19 2.4e-37 
532918 1382745 300 0.061  79 20 1.4 0.032 0.0001 4.3e-10 9.6e-20 1.9e-37 
533002 1382752 300 0.037  79 19 1.3 0.027 7.3e-05 3.1e-10 7.2e-20 1.5e-37 
533092 1382760 300 0.021  80 19 1.2 0.022 4.9e-05 2.2e-10 5.3e-20 1.1e-37 
533187 1382768 300 0.012  80 19 1.2 0.02 3.2e-05 1.5e-10 3.8e-20 8.3e-38 
533286 1382777 300 0.0063  80 19 1.2 0.018 2.1e-05 9.9e-11 2.7e-20 6.1e-38 
533391 1382786 300 0.0032  80 19 1.2 0.017 1.3e-05 6.4e-11 1.9e-20 4.4e-38 
533500 1382796 300 0.0016  80 19 1.2 0.017 9.2e-06 4.1e-11 1.3e-20 3.2e-38 
533615 1382806 300 0.00073  79 19 1.2 0.017 7e-06 2.5e-11 8.9e-21 2.3e-38 
533734 1382816 300 0.00032  79 20 1.2 0.018 6e-06 1.5e-11 6e-21 1.7e-38 
533859 1382827 300 0.00013  79 20 1.3 0.02 5.8e-06 9e-12 4.1e-21 1.2e-38 
533989 1382839 300 5.2e-05  78 20 1.3 0.021 6.2e-06 5.2e-12 2.7e-21 8.9e-39 
534123 1382850 300 1.9e-05  78 21 1.4 0.024 7.1e-06 3e-12 1.8e-21 6.6e-39 
534262 1382863 300 6.6e-06  77 22 1.5 0.027 8.4e-06 1.7e-12 1.2e-21 4.9e-39 
534407 1382875 300 2.1e-06  76 22 1.6 0.031 1e-05 9.3e-13 8.1e-22 3.7e-39 
534556 1382888 300 6.2e-07  75 23 1.8 0.036 1.3e-05 5.3e-13 5.4e-22 2.8e-39 
