#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
483790 1424190 350 5.2e-28  0 0 0 0 3.6e-190 1e-56 1.1e-05 1e+02 
483790 1425690 350 4.2e-30  0 0 0 0 6.1e-198 6.5e-60 1.4e-06 1e+02 
483790 1427190 350 3.2e-32  0 0 0 0 4.7e-206 2.6e-63 1.4e-07 1e+02 
483790 1428690 350 2.2e-34  0 0 0 0 1.7e-214 7.3e-67 1.1e-08 1e+02 
483790 1430190 350 1.4e-36  0 0 0 0 2.9e-223 1.4e-70 7.9e-10 1e+02 
483790 1431690 350 7.1e-39  0 0 0 0 2.5e-232 1.9e-74 4.8e-11 1e+02 
485290 1332690 350 2.8e-72  0 0 0 0 1.3e-241 4.8e-87 2.7e-22 1e+02 
485290 1334190 350 3e-68  0 0 0 0 9.2e-233 1.9e-83 1.9e-21 1e+02 
485290 1335690 350 2.6e-64  0 0 0 0 3.5e-224 5.7e-80 1.2e-20 1e+02 
485290 1337190 350 1.8e-60  0 0 0 0 6.9e-216 1.3e-76 7.5e-20 1e+02 
485290 1338690 350 1e-56  0 0 0 0 7.3e-208 2.2e-73 4.3e-19 1e+02 
485290 1340190 350 4.6e-53  0 0 0 0 4.1e-200 3e-70 2.3e-18 1e+02 
485290 1341690 350 1.6e-49  0 0 0 0 1.2e-192 3.2e-67 1.2e-17 1e+02 
485290 1343190 350 4.5e-46  0 0 0 0 2e-185 2.6e-64 5.9e-17 1e+02 
485290 1344690 350 9.8e-43  0 0 0 0 1.7e-178 1.7e-61 2.8e-16 1e+02 
485290 1346190 350 1.6e-39  0 0 0 0 8.3e-172 8.7e-59 1.3e-15 1e+02 
485290 1347690 350 2.1e-36  0 0 0 0 2.2e-165 3.6e-56 6.3e-15 1e+02 
485290 1349190 350 2.1e-33  0 0 0 0 3.2e-159 1.2e-53 2.9e-14 1e+02 
485290 1350690 350 1.6e-30  0 0 0 0 2.7e-153 3.2e-51 1.4e-13 1e+02 
485290 1352190 350 8.7e-28  0 0 0 0 1.2e-147 7.1e-49 6.7e-13 1e+02 
485290 1353690 350 3.6e-25  0 0 0 0 3.3e-142 1.3e-46 3.3e-12 1e+02 
485290 1355190 350 1.1e-22  0 0 0 0 5e-137 2e-44 1.7e-11 1e+02 
485290 1356690 350 2.5e-20  0 0 0 1.1e-294 4.4e-132 2.5e-42 8.7e-11 1e+02 
485290 1358190 350 4.2e-18  0 0 0 1.1e-285 2.2e-127 2.7e-40 4.7e-10 1e+02 
485290 1359690 350 5e-16  0 0 0 3.7e-277 6.6e-123 2.4e-38 2.6e-09 1e+02 
485290 1361190 350 4.4e-14  0 0 0 3.9e-269 1.1e-118 1.8e-36 1.5e-08 1e+02 
485290 1362690 350 2.8e-12  0 0 0 1.4e-261 1.1e-114 1.2e-34 8.6e-08 1e+02 
485290 1364190 350 1.3e-10  0 0 0 1.5e-254 6.8e-111 6.5e-33 5e-07 1e+02 
485290 1365690 350 4.2e-09  0 0 0 5.6e-248 2.4e-107 3e-31 2.9e-06 1e+02 
485290 1367190 350 1e-07  0 0 0 6.5e-242 4.8e-104 1.2e-29 1.7e-05 1e+02 
485290 1368690 350 1.8e-06  0 0 0 2.4e-236 5.7e-101 3.9e-28 9.3e-05 1e+02 
485290 1370190 350 2.2e-05  0 0 0 2.9e-231 3.9e-98 1.1e-26 0.0005 1e+02 
485290 1371690 350 0.00021  0 0 0 1.1e-226 1.5e-95 2.5e-25 0.0026 1e+02 
485290 1373190 350 0.0015  0 0 0 1.4e-222 3.5e-93 4.8e-24 0.013 1e+02 
485290 1374690 350 0.0075  0 0 0 5.1e-219 4.5e-91 7.5e-23 0.057 1e+02 
485290 1376190 350 0.03  0 0 0 5.8e-216 3.1e-89 9.3e-22 0.23 1e+02 
485290 1377690 350 0.095  0 0 0 2e-213 1.2e-87 8.9e-21 0.85 99 
485290 1379190 350 0.25  0 0 0 1.9e-211 2.3e-86 6.3e-20 2.6 97 
485290 1380690 350 0.56  0 0 0 4.8e-210 2.2e-85 3.2e-19 6.5 93 
485290 1382190 350 1.1  0 0 0 3.3e-209 1e-84 1.1e-18 14 86 
485290 1383690 350 1.8  0 0 0 6.3e-209 2.3e-84 2.8e-18 24 76 
485290 1385190 350 2.6  0 0 0 3.3e-209 2.6e-84 5.2e-18 36 64 
485290 1386690 350 3  0 0 0 4.9e-210 1.6e-84 7.1e-18 49 51 
485290 1388190 350 2.9  0 0 0 2.1e-211 4.7e-85 7.1e-18 61 39 
485290 1389690 350 2.3  0 0 0 2.4e-213 7.2e-86 5.3e-18 69 31 
485290 1391190 350 1.5  0 0 0 8.3e-216 5.8e-87 3e-18 75 25 
485290 1392690 350 0.79  0 0 0 8.3e-219 2.5e-88 1.3e-18 77 23 
485290 1394190 350 0.32  0 0 0 2.5e-222 5.7e-90 4.4e-19 78 22 
485290 1395690 350 0.1  0 0 0 2.2e-226 7.1e-92 1.2e-19 76 24 
485290 1397190 350 0.025  0 0 0 5.9e-231 4.8e-94 2.5e-20 73 27 
485290 1398690 350 0.0049  0 0 0 4.7e-236 1.8e-96 4.2e-21 68 32 
485290 1400190 350 0.00073  0 0 0 1.1e-241 3.6e-99 5.5e-22 62 38 
485290 1401690 350 8.5e-05  0 0 0 8.1e-248 4e-102 5.7e-23 54 46 
485290 1403190 350 7.9e-06  0 0 0 1.7e-254 2.3e-105 4.5e-24 45 55 
485290 1404690 350 5.8e-07  0 0 0 1.1e-261 7.3e-109 2.8e-25 35 65 
485290 1406190 350 3.5e-08  0 0 0 1.9e-269 1.2e-112 1.3e-26 26 74 
485290 1407690 350 1.7e-09  0 0 0 1e-277 1e-116 4.9e-28 18 82 
485290 1409190 350 6.4e-11  0 0 0 1.5e-286 4.7e-121 1.3e-29 11 89 
485290 1410690 350 2e-12  0 0 0 6.6e-296 1.1e-125 2.8e-31 6.5 94 
485290 1412190 350 5.4e-14  0 0 0 8e-306 1.3e-130 4.2e-33 3.4 97 
485290 1413690 350 1.2e-15  0 0 0 0 7.8e-136 4.7e-35 1.5 98 
485290 1415190 350 2.4e-17  0 0 0 0 2.2e-141 3.6e-37 0.6 99 
485290 1416690 350 4.1e-19  0 0 0 0 3.1e-147 2e-39 0.2 1e+02 
485290 1418190 350 6.3e-21  0 0 0 0 2e-153 7.4e-42 0.056 1e+02 
485290 1419690 350 8.3e-23  0 0 0 0 6.7e-160 2e-44 0.014 1e+02 
485290 1421190 350 9.1e-25  0 0 0 0 1.1e-166 4e-47 0.003 1e+02 
485290 1422690 350 8.4e-27  0 0 0 0 9.5e-174 5.8e-50 0.00059 1e+02 
485290 1424190 350 6.5e-29  0 0 0 0 4e-181 6.2e-53 0.0001 1e+02 
485290 1425690 350 4.5e-31  0 0 0 0 8e-189 4.6e-56 1.5e-05 1e+02 
485290 1427190 350 2.9e-33  0 0 0 0 7.4e-197 2.2e-59 1.8e-06 1e+02 
485290 1428690 350 1.7e-35  0 0 0 0 3.1e-205 7e-63 1.6e-07 1e+02 
485290 1430190 350 9.7e-38  0 0 0 0 5.8e-214 1.5e-66 1.2e-08 1e+02 
485290 1431690 350 4.8e-40  0 0 0 0 5.2e-223 2.2e-70 7.8e-10 1e+02 
486790 1332690 350 2.1e-73  0 0 0 0 1e-232 2.9e-83 2.9e-21 1e+02 
486790 1334190 350 2.6e-69  0 0 0 0 6.3e-224 1e-79 1.8e-20 1e+02 
486790 1335690 350 2.6e-65  0 0 0 0 2.1e-215 2.7e-76 1e-19 1e+02 
